job_id,title,company,location,job_url,posted_date,posted_time_ago,applicants,is_promoted,search_keywords,search_location,scraped_at
4258751823,Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4258751823?position=1&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=DUJdelZDpdGf47DE3GR90g%3D%3D,2025-07-01,2 weeks ago,,False,python developer,Remote,2025-07-20T05:53:54.298784
4257977089,Python developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4257977089?position=2&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=ZeRgxclXXYD3HCix3Dwr%2Bw%3D%3D,2025-06-30,2 weeks ago,,False,python developer,Remote,2025-07-20T05:53:54.299130
4261269444,Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4261269444?position=3&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=THw9qAhJF3jIDAqg1hqODQ%3D%3D,2025-07-05,2 weeks ago,,False,python developer,Remote,2025-07-20T05:53:54.299452
4242299754,Python Developer,Infosys,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4242299754?position=4&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=fSayaC5vgppeWUUE3UGluw%3D%3D,2025-07-11,1 week ago,,False,python developer,Remote,2025-07-20T05:53:54.299760
4258335399,Python Developer,Infosys,"Chandigarh, Chandigarh, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4258335399?position=5&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=XP5CYkdwkDDQJiAoC5dVXQ%3D%3D,2025-06-30,2 weeks ago,,False,python developer,Remote,2025-07-20T05:53:54.300053
4258333671,Python Developer,Infosys,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4258333671?position=6&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=0iK2QXcvmUepuepDgHIY%2FA%3D%3D,2025-06-30,2 weeks ago,,False,python developer,Remote,2025-07-20T05:53:54.300364
4258334542,Python Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4258334542?position=7&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=ygcyRYdfJnCOItTla3jYQw%3D%3D,2025-06-30,2 weeks ago,,False,python developer,Remote,2025-07-20T05:53:54.300652
4191884365,Python Developer,Infosys,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4191884365?position=8&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=N%2BlrU2jwcFOdI%2Bu%2BDR8zkg%3D%3D,2025-05-09,2 months ago,,False,python developer,Remote,2025-07-20T05:53:54.300942
4261594970,Python Developer,Infosys,"Chandigarh, Chandigarh, India",https://in.linkedin.com/jobs/view/python-developer-at-infosys-4261594970?position=9&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=l%2FMv%2FNM1ZPR7pYFjMuJG1w%3D%3D,2025-07-06,1 week ago,,False,python developer,Remote,2025-07-20T05:53:54.301239
4217499837,Python Developer,Persistent Systems,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/python-developer-at-persistent-systems-4217499837?position=10&pageNum=0&refId=dgh%2Bt0TpxBxjIKjarDrNJQ%3D%3D&trackingId=fjr32FPJ6pC4yhAwd9zciQ%3D%3D,2025-06-29,2 weeks ago,,False,python developer,Remote,2025-07-20T05:53:54.301528
4267350926,Python Developer,ITC Infotech,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/python-developer-at-itc-infotech-4267350926?position=1&pageNum=2&refId=Qw7bTKr9o9Eo5dIJvE%2BDlQ%3D%3D&trackingId=1BbZ5HfMqS4cXmc2HOlQtA%3D%3D,2025-07-15,4 days ago,,False,python developer,Remote,2025-07-20T05:53:56.883303
